speaker,saying,categories
다니가와 고지,'졌습니다' 하고 머리를 숙이는 것이 게임을 끝내는 옳은 방법입니다. 괴로운 순간이지요. 하지만 '졌습니다' 하고 확실히 말할 수 있는 사람은 프로에서도 강해집니다. 이것을 어물쩍 넘기는 사람은 결코 위로 올라가지 못합니다.,['패배']
미시마 유키오,"청춘의 특권이란, 한 마디로 말해 무지에서 오는 특권이다.",['청춘']
마키아벨리,"변혁이라는 것은, 하나가 일어나면 반드시 다음 변혁을 부르게 되어 있는 법이다.",['변혁']
사무엘 존슨,"나쁜 짓을 하는 것보다 나쁜 일을 겪는 것이 낫고, 가끔 속는 것이 믿지 않는 것보다 행복하다.","['믿음', '악행', '인생살이', '행복']"
공자,과오를 범하고 고치지 않는 자는 또 다른 과오를 범하고 있는 것이니라.,['과오']
사무엘 존슨,"모든 시대에는, 시정해야 할 새로운 오류와 저항해야 할 새로운 편견이 존재한다.","['시대', '편견']"
J. D. 샐린저,나는 정반대의 편집증 환자이다. 나는 모든 사람이 나를 행복하게 만들 음모를 꾸미고 있다고 의심한다.,"['편집증', '행복']"
엘리자베스 포사이스 헤일리,시간은 예전의 우리를 앗아가는 무자비한 도둑이다. 우리는 죽음만큼이나 삶 때문에 많은 것을 잃는다.,"['시간', '삶']"
소포클레스,낱말 하나가 삶의 모든 무게와 고통에서 우리를 해방시킨다. 그 말은 사랑이다.,"['사랑', '고통']"
윌라 카서,노인이 젊은이에게 얘기하듯이 망자도 산자에게 이야기하려고 노력한다면 좋을텐데.,"['망자', '죽음']"
에이브러햄 링컨,인격이 나무라면 평판은 그 그림자와 같다. 우리가 나무에 대해 생각하는 바가 그림자라면 나무는 실제 모습인 것이다.,"['인격', '평판']"
에이브러햄 링컨,신은 평범한 사람들을 좋아한다. 그것이 바로 그 분께서 보통 사람들을 이렇게 많이 창조하신 이유다.,"['신(lord)', '신(god)', '사람']"
프리드리히 니체,명분을 해치는 가장 비열한 방법은 일부러 잘못된 주장으로 명분을 옹호하는 것이다.,['명분']
에픽테토스,쉽게 화 내고 싶지 않다면 그런 습관을 키우지 말라. 화를 돋울 만한 일을 하지 말라.,['화(anger)']
장 콕토,우리는 행운을 믿어야 한다. 안 그러면 어떻게 우리가 좋아하지 않는 이들의 성공을 설명할 수 있나?,['행운']
공자,"사람의 천성은 서로 비슷하지만, 습성으로 서로가 멀어지느니라.","['사람', '천성']"
캐서린 화이트혼,돈에 관해 자식을 교육시키는 가장 손쉬운 방법은 그 부모가 돈이 없는 것이다.,"['돈(money)', '자식', '부모']"
엘리노어 루즈벨트,우리는 어떻게든 진정한 자아를 찾고 그 결정에 따라 살아가는 것 같다.,"['자아', '인생살이']"
하이먼 리코버,좋은 아이디어가 저절로 채택되지는 않는다. 용기있게 인내심을 가지고 밀어붙여 실행되도록 해야한다.,['아이디어']
제임스 딘,가장 중요하게 고려해야 할 두 가지는 신뢰와 믿음이다. 독선에 빠지지 않도록 해야 한다.,"['신뢰', '믿음']"
앤디 워홀,나는 토지를 소유하고 그것을 망치지 않는 것이 모두가 소유하고 싶어하는 가장 아름다운 예술이라고 생각한다.,"['예술', '토지']"
조지 S. 패튼,계산된 위험은 감수하라. 이는 단순히 무모한 것과는 완전히 다른 것이다.,['위험']
E. E. 커밍스,내 수입보다 훨씬 더 많이 쓰며 살다 보니 돈과는 별거하고 있다고 말해도 되겠다.,"['과소비', '돈']"
게오로크 크리스토프 리히텐베르크,적어도 1년간은 누구나 천재이다.,"['천재', '생각']"
오스카 와일드,패션이란 참을 수 없이 추해서 6개월 마다 바꿔줘야 한다.,['패션(fashion)']
엘리자베스 테일러,세월이 인내심을 길러준다는 사실은 참으로 알 수 없는 일이다. 살 날이 줄어들수록 더 오래 기다릴 수 있게 되다니.,"['인내심', '세월']"
릴리안 헬만,"저는 이 시대의 흐름에 맞추기 위해 양심을 잘라낼 수도 없고, 잘라내지도 않을 것입니다.",['양심']
아리스토텔레스,"제비 한 마리가 왔다고 여름이 온 것은 아니요, 날씨가 하루 좋았다고 여름이 온 것은 아니다. 
이와 마찬가지로, 하루 또는 짧은 시간의 행복이 그 사람을 완전히 행복하게 하는 것은 아니다.",['행복']
헨리 루이스 멩켄,돈의 최고 가치는 바로 우리가 돈의 가치가 과대 평가된 세상에서 살고 있다는 사실에 있다.,['돈(money)']
윌리엄 워트,궁금증을 풀고 싶다면 어느 주제에 대한 것이든 호기심이 발동하는 그 순간을 잡아라. 그 순간을 흘려보낸다면 그 욕구는 다시 돌아오지 않을 수 있고 당신은 무지한 채로 남게 될 것이다.,"['궁금증', '배움']"
헬렌 켈러,눈이 먼 것보다 더 안 좋은 게 있을까? 있다. 볼 수는 있지만 비전이 없는 사람.,"['비전(vision)', '장님']"
에이브러햄 링컨,그는 내가 만난 사람 중에 알맹이 없는 아이디어를 가장 장황하게 설명하는 사람이다.,['아이디어(idea)']
재커리 스코트,나이가 들수록 해보지 않았던 것에 대해서만 후회한다는 것을 발견하게 될 것이다.,"['나이', '후회']"
윈스턴 처칠,"비관론자는 모든 기회에서 어려움을 찾아내고, 낙관론자는 모든 어려움에서 기회를 찾아낸다.","['비관론자', '낙관론자']"
로건 피어설 스미스,젊은이가 꾸미는 것을 비웃지 말라. 그는 그저 자신의 얼굴을 찾기 위해서 하나 하나 차례로 걸쳐 보고 있는 것이다.,"['꾸밈', '젊은이']"
에이브러햄 링컨,입을 열어 모든 의혹을 없애는 것보다는 침묵을 지키며 바보로 보이는 것이 더 낫다.,['침묵']
조지 산타야나,계절 변화에 관심을 가지는 것이 절망적으로 봄과 사랑에 빠지는 것보다 더 행복한 마음의 상태이다.,['계절']
잔느 모로,나이가 들어도 사랑을 막을 수는 없어요. 하지만 사랑은 노화를 어느 정도 막을 수 있죠.,"['나이', '사랑', '노화']"
윌리엄 셰익스피어,저렇게 작은 촛불이 어쩌면 이렇게 멀리까지 비쳐 올까! 험악한 세상에선 착한 행동도 꼭 저렇게 빛날 거야.,"['선행', '촛불']"
칭기즈칸,"신의 부름이 드높아지면서, 내가 짊어 진 책임감도 무겁다. 내 치하에 무엇인가가 부족할까 두렵다.","['지도자', '책임']"
시어도어 루즈벨트,단연코 인생이 주는 최고의 상은 할만한 가치가 있는 일에서 온 힘을 다할 기회이다.,"['인생', '기회']"
다그 함마르셸드,당신의 고독을 통해 목숨도 바칠 만큼 위대한 삶의 목적을 찾을 수 있도록 해달라 기도하시오.,['고독']
토마스 풀러,선물로 친구를 사지마라. 선물을 주지 않으면 그 친구의 사랑도 끝날 것이다.,"['친구', '선물']"
시드니 스미스,"그는 종종 잠깐씩 침묵하곤 했는데, 그 때문에 그와 하는 대화가 더할 나위없이 즐거웠다.","['대화', '침묵']"
가브리엘 코코 샤넬,어떤 사람들은 럭셔리란 빈곤의 반대말이라고 생각한다. 아니다. 럭셔리는 천박함의 반대말이다.,['럭셔리(luxury)']
오그든 내쉬,"가족이란 아이뿐만 아니라 남자, 여자, 이따금 키우는 동물과 흔한 감기의 집합체이다.",['가족']
소크라테스,"세계를 움직이고자 했다면, 먼저 자기 자신을 움직여라.","['자기자신', '행동']"
니체,"괴물과 싸우는 자는, 스스로 괴물이 되지 않도록 조심하라. 심연을 오래 들여다보게 되면, 심연도 또한, 너를 들여다보게 될지니.","['괴물', '싸움', '심연']"
요로 다케시,자신을 변화시키지 못하는 것이 바로 일상을 재미없게 만드는 원인다.,"['변화', '자기자신']"
무라카미 하루키,"만일 내가 당신 속에다 어떤 상처를 남겨 놓았다면, 그것은 당신만의 상처가 아니고 저의 상처기도 합니다. 그러니까 그 일로 해서 나를 미워하진 말아 주세요.","['상처', '마음']"
프랑스 속담,"기회가 사람을 버리기보다, 사람이 기회를 버리는 일이 더 많다.",['기회']
피터 드러커,사람은 무언가를 이루고 싶어 한다.,"['사람', '성취']"
찰리 채플린,"내내 고개를 숙이고 있다면, 결코 무지개를 발견하지 못하리라.","['인생살이', '적극적']"
괴테,인생은 모두 다음 두 가지로 이루어져 있다. 하고 싶지만 못한다. 할 수 있지만 하기 싫다.,['인생']
조지 오웰,예를 들어 성게젓이나 2의 제곱근 같은 문제라면 객관적으로 대처가 가능하면서도 자신의 수당이 걸리게 되면 정신분열증을 일으키는 사람이 무수히 많다.,"['수당', '이익']"
북유럽 시 에다(Edda),"장작은 다 타 재가 될 때까지, 다른 장작에 의해 불타고, 불은 다른 불씨를 얻어 일어난다. 사람도 타인에 의해 현명해 진다. 매사에 소극적이어서는 현명해 질 수가 없다.","['현명', '삶', '소극적']"
마하트마 간디,내일 죽을 것처럼 살아라. 영원히 살 것처럼 공부하라.,"['삶', '공부']"
괴테,"아하하, 이봐, 젊은이. 자네는 완벽을 바라고 있군 그래.","['젊은이', '젊음']"
헤로도토스,"당신에게 막대한 부가 있다는 것을 알고 있다. 하지만 생애를 마치기 전까지는, 행복한 인물이라 부를 수 있을지 아직은 말 못하겠다.","['부자', '행복']"
르네 듀보스,"걱정 없는 세계에서 스트레스도 왜곡도 없는 생활을 상상하는 것은 즐거울지 모르지만, 그것은 게으름뱅이의 꿈에 지나지 않는다.","['스트레스', '게으름뱅이']"
사카이야 다이치,시간을 잊을 수 있는 일을 찾아라.,"['일(work)', '직업']"
마사오카 시키,"깨달음이라는 것은, 어떠한 경우에도 태연히 살아간다는 것이다.",['깨달음']
에릭 호퍼,교육의 주된 역할은 학습의욕과 학습 능력을 체득하게 하는데에 있다. 공부한 인간이 아니라 계속 공부해가는 인간을 길러내는데 있다.,['교육']
쥘 르나르,행복이란 행복을 찾는 것이다.,['행복']
트레이 힐만,"돈으로 살 수 없는, 돌이킬 수 없는 시간이라는 것이 있지 않나.",['시간']
찰리 채플린,인생에는 세 가지만 있으면 된다. 희망과 용기와 약간의 돈.,['인생']
야마모토 슈고로,제 아무리 현명한 사람도 자신의 등을 볼 수는 없다.,"['맹점', '현자']"
에픽테토스,행복으로 가는 길은 단 한 가지밖에 없다. 그것은 의지의 힘으로는 도저히 어쩔 수 없는 것을 갖고 고민하지 않는 것이다.,['행복']
아리스토텔레스,존엄은 명예를 소유하는 데 있지 않고 명예를 누릴 자격을 유지하는 데 있다.,"['존엄', '명예']"
엘라 휠러 윌콕스,우정이 바탕이 되지 않는 모든 사랑은 모래 위에 지은 집과 같다.,"['사랑', '우정']"
오그든 내쉬,부모란 자녀에게 사소한 것을 주어 아이를 행복하게 하게끔 만들어진 존재다.,['부모']
공자,"어진 사람은 어려움을 우선으로 삼고, 얻음을 다음으로 여기니라.","['인생살이', '어려움', '획득', '성공']"
랄프 왈도 에머슨,자연은 재산을 인간의 성격의 결과물로 만듦으로써 마술처럼 한 인간의 재산을 맞게 정해 준다.,"['재산', '인간', '자연']"
프랭크 티볼트,우리는 어떤 일을 착수하기 위해 영감을 기다리고 있어서는 안된다는 것을 배워야 한다. 언제나 행동이 영감을 낳는다. 영감이 행동을 낳는 일은 드물다.,"['행동', '영감(inspiration)']"
벤저민 프랭클린,"일찍 일어나고 일찍 자는 것은 남자를 건강하게 하고, 부자로 만들고, 현명하게 한다.","['남자', '인생살이']"
에이브러햄 링컨,"만약 누군가를 당신의 편으로 만들고 싶다면, 먼저 당신이 그의 진정한 친구임을 확신시켜라.","['처세', '인간관계']"
찰스 칼렙 콜튼,"사람을 알기위해서는 어떻게 목표 달성에 실패하는가 보다는, 어떻게 목표 달성에 성공하는가를 살피라. 왜냐하면 실패할 때에는 자존심이 우리를 지탱해 주지만 성공할 때에는 자존심이 우리를 배반하기 때문이다.","['성공', '실패', '자존심', '사람평가']"
로버트슨 데이비스,도서수집가가 된다는 것은 마약중독자와 구두쇠의 가장 나쁜 특징을 결합하는 것이다.,"['도서수집가', '책(book)']"
볼테르,종파는 모두 다르다. 인간의 것이기에. 도덕은 어디에서나 같다. 신의 것이기에.,['도덕']
라와나 블랙웰,"예법은 비록 엄격한 스승이나, 훌륭한 명성을 지키고자 한다면 반드시 따라야 할 스승이다.","['예법', '명성']"
에드워드 R. 머로,모든 사람은 자기 경험의 포로이다. 편견을 버릴 수 있는 사람은 아무도 없다,"['편견', '경험']"
헨리 S. 해스킨스,타인의 신념을 존중하라. 그것이 그가 믿기 위해 가진 전부이다. 그의 마음은 당신이나 내 생각이 아니라 그의 생각을 위해 창조되었다.,['신념']
스콧 애덤스,창조성은 실수를 할 수 있게 해준다. 어떤 실수를 간직할 지 아는 것이 예술이다.,"['창조성', '예술']"
하워드 뉴튼,사람들은 당신이 그 일을 얼마나 빨리했는가는 잊어도 얼마나 잘했는지는 기억한다.,['일(job)']
공자,"아는 것을 안다 하고, 모르는 것을 모른다 하는 것이 참으로 아는 것이다.","['앎', '배움', '지식']"
핀다로스,글은 행위보다 오래 간다.,['글(Words)']
리타 러드너,"남편을 만나기 전, 사랑에 몇 번 발을 들여놓은 적은 있었지만 사랑에 빠진 적은 없었다.","['사랑', '남편']"
마하트마 간디,"모든 진리, 단지 진실한 생각 뿐 아니라 진실한 얼굴, 진실한 그림이나 노래는 매우 아름답다.","['진리', '진실']"
그루초 마르크스,개를 제외하고 책은 인간의 가장 좋은 친구다. 개에 푹 빠져 있으면 독서를 할 수 없다.,"['독서', '개(dog)']"
찰리 채플린,나는 대중이 그들이 원하는 바를 알고 있다고 믿지 않는다. 이것이 바로 내가 내 직업을 통해 내린 결론이다.,['대중']
가브리엘 코코 샤넬,"새로운 것을 창조해내는 사람들은 드믈고, 그렇게 하지 못하는 사람들은 수없이 많다. 그러므로 후자가 더 강한 것이다.",['창조']
퀸틀리안,"바보들 사이에서 현명해 보이려는 자는, 현명한 사람들 사이에서는 어리석어 보인다.","['바보', '현명']"
키케로,"타고난 능력 없이 교육만 받은 이보다, 교육 받지 않았으나 타고난 능력이 있는 이가 영예와 미덕을 얻은 경우가 더 흔하다.","['능력', '교육']"
에드 가드너,오페라는 사람이 등에 칼을 찔리고도 피를 흘리지 않고 노래를 하는 것이다.,['오페라(Opera)']
에우리피데스,좋은 습관은 법보다 확실하다.,['습관']
프랜시스 베이컨,"질투는 언제나 타인과의 비교로 인해 생겨나며, 비교가 없는 곳에는 질투도 없다.","['질투', '비교']"
후지사와 슈헤이,인간은 본시 후회하도록 만들어져 있다.,['후회']
사카구치 안고,"추락할 때는 밑바닥까지 추락해봐야, 자기 자신을 발견하고 구해낼 수 있다.","['실패', '추락', '자기자신']"
요시다 쇼인,"후회를 곱씹기보다, 오늘 즉시 결의하고, 일을 시작하고, 기술을 시도해볼 일이다. 시작하는데 나이가 이르고 늦고 따윈 문제가 아니다.",['시작']
마크 트웨인,진실을 말한다면 어떤 것도 기억할 필요가 없다.,"['진실', '말(tell)']"
윌리엄 셰익스피어,천국의 평화란 진정 정의롭고 자비로운 전쟁에서 칼을 드는 자들의 것이다.,['평화']
아델 데이비스,"아침은 왕처럼, 점심은 왕자처럼, 저녁은 거지처럼 먹어라.",['식사']
어니스트 해스킨스,"매월 말 조금씩 저금을 해 보면, 연말에 얼마나 적은 금액이 모였는지 알고 놀라게 될 것이다.",['저금']
호메로스,"저는 미래가 어떻게 전개될지는 모르지만, 누가 그 미래를 결정하는지는 압니다.","['미래', '자기자신']"
에런 더글러스 트림블,"등 뒤로 불어오는 바람, 눈 앞에 빛나는 태양, 옆에서 함께 가는 친구보다 더 좋은 것은 없으리.",['친구']
아리스토텔레스,"동이 트기 전에 일어나는 것은 좋다, 그런 습관들은 건강과 부와 지혜에 기여하기 때문이다.",['습관']
호라티우스,"공정한 수단으로 벌 수 있다면, 돈을 벌어라. 공정한 수단으로 벌 수 없다면, 그래도 어떻게든 벌어라.",['돈(money)']
루드비히 폰 미제스,"교육은 문하생과 모방자, 기계적으로 일하는 사람만 길러낼 뿐 새로운 아이디어의 창시자나 창의적인 천재는 길러내지 못한다. 학교는 진보와 발전의 양성소가 아니라 전통과 변하지 않는 사고방식을 보존하는 온실이다.","['교육', '학교']"
윌리엄 브래그,과학에서 중요한 것은 새로운 사실을 얻는 것보다 새로운 사실을 생각해내는 법을 찾아내는 것이다.,['과학']
중국 속담,"물고기는 미끼만 보고 낚시 바늘을 보지 못하며, 인간은 이익만 보고 위험을 보지 못한다.","['이익', '위험']"
에릭 호퍼,명랑함이 얼마나 유익한지 안다면 성취의 수단으로 분노를 불러일으키는 소외된 사람들의 허위광고에서 벗어날 수 있을 것이다.,['명랑함']
루드비히 폰 미제스,이익을 추구하는 투기는 시장의 추진력이다.,"['투기', '시장']"
앨빈 토플러,변화는 인생에 필요할 뿐만 아니라 인생 그 자체다.,"['변화', '인생']"
오프라 윈프리,여러분이 보다 보람찬 인생을 살려면 생각하는 방식을 바꿔야 합니다.,"['인생', '생각']"
버트런드 러셀,과학이 지식을 제한할 수는 있으나 상상력을 제한해서는 안 된다.,"['과학', '상상력']"
버트런드 러셀,내가 기억하는 한에는 성경에 지능을 칭찬하는 구절은 한 마디도 없었다.,"['성경', '지능']"
브루스 바튼,만약 당신의 아들딸에게 단 하나의 재능만을 줄 수 있다면 열정을 주어라.,"['열정', '자녀']"
힐러리 로댐 클린턴,나는 가치 있는 삶이란 일종의 영적 여행과 의무감으로 정의된다고 믿는다.,['삶']
사무엘 테일러 콜리지,상상의 산물은 평이한 언어로 표현해야 한다. 그것이 순수할수록 더 평이한 언어로 표현할 필요가 있다.,"['글쓰기', '상상', '표현']"
스티브 잡스,포커스 그룹에 의지해서 제품을 만드는건 매우 어려운 일이다. 사람들은 대부분의 경우 만들어서 보여주기 전에는 자신이 원하는 것이 무엇인지 모른다.,"['제품', '사람']"
액톤 경,자유는 더 높은 정치적 목적을 위한 수단이 아니다. 자유 그 자체가 가장 높은 정치적 목적이다.,"['자유', '정치']"
공자,한 사람에게서 모든 덕을 구하지 말라.,['덕(quality)']
알버트 아인슈타인,우리는 아직 자연이 보여준 모습의 10만분의 1도 모른다.,['자연']
호레이스 월폴,"세상은 느끼는 자에겐 비극이지만, 생각하는 자에겐 희극이다.","['세상', '삶', '인생', '희극', '비극']"
로버트 하인라인,항상 전문가의 말에 귀를 기울여라. 그들은 할 수 없는 것과 이유를 말할 것이다. 그러면 그것을 해라.,['전문가']
리처드 파인만,정직이란 단지 진실만을 말하는 것을 의미하지 않으며 전체적인 상황을 분명히 하는 것까지 포함된다. 다른 사람들이 결심할 수 있도록 필요한 모든 정보를 분명히 해야 한다.,['정직']
마리 퀴리,사람에 대한 호기심은 줄이고 지식에 대한 호기심을 늘려라.,"['호기심', '지식']"
버트런드 러셀,"많은 사람들은 생각하기보다는 죽고 싶어한다. 실제로 그들은 그렇게 한다.
– 버트런드 러셀
Most people would sooner die than think; in fact, they do so.
– Bertrand Russell","['생각', '죽음']"
월터 배지호트,인생은 확률의 학교이다.,"['인생', '확률']"
빈스 롬바르디,성공한 사람과 그렇지 못한 사람의 차이는 힘이나 지식의 부족이 아니라 의지의 부족이다.,"['성공자', '실패자', '의지력']"
앤디 워홀,그들이 당신에 대해 뭐라고 쓰든 전혀 신경쓰지 말라. 다만 그것을 자세히 평가하라.,"['평가', '비평', '인생살이']"
우드로 윌슨,"권력은 자신의 의지를 다른 이들의 목적과 결부시킬 수 있는 역량, 이성과 협동의 재능으로 이끌어 가는데 있다.",['권력']
윌리엄 펜,"사랑이 없다면 결혼하지 말라. 다만, 당신이 사랑스런 것을 사랑하고 있는지 살펴보라.","['결혼', '사랑']"
프랭크 윌첵,"나는 대학에 진학하면서 수학이나 철학을 전공할 계획을 세웠는데, 물론 두 계획은 결국 같은 것이었다.","['수학', '철학']"
마가릿 조,네가 눈이 멀어 나의 아름다움을 볼 수 없다고 해서 그것이 존재하지 않는다는 것은 아니다.,['아름다움']
닐스 보어,옳곧은 진술의 반대말은 거짓 진술이다. 하지만 심오한 진리의 반대말은 또 다른 심오한 진리일지도 모른다.,['진리']
생텍쥐페리,"누군가는 성공하고 누군가는 실수할 수도 있다. 하지만 이런 차이에 너무 집착하지 말라. 타인과 함께, 타인을 통해서 협력할 때에야 비로소 위대한 것이 탄생한다.",['협력']
벤저민 디즈레일리,"청결과 정돈은 본능의 문제가 아니라 교육의 문제이며, 대부분의 중요한 것들과 마찬가지로 그에 대한 감각을 키워야 한다.","['청결', '정돈']"
콘라트 로렌츠,과학자가 매일 아침 식사 전에 애지중지하는 가설을 버리는 것은 훌륭한 아침 운동이다. 그렇게 하면 젊음이 유지된다.,['과학자']
파멜라 라이번,아주 솔직한 말이 나올 때는 보통 이를 소화할 몇 분간의 침묵이 필요하다.,"['정직', '침묵', '말(words)']"
윈스턴 처칠,"건설은 더디고 수년이 걸리는 힘든 작업이지만, 파괴는 단 하루의 무분별한 행동만으로 가능하다.","['건설', '파괴']"
워런 버핏,"경영대학원은 단순한 행동보다 어렵고 복잡한 행동을 가르치지만, 단순한 행동이 보다 효과적이다.",['경영대학원']
랍비 줄리어스 고든,"사랑은 눈 먼 것이 아니다. 더 적게 보는 게 아니라 더 많이 본다. 다만 더 많이 보이기 때문에, 더 적게 보려고 하는 것이다.",['사랑']
프리드리히 니체,"하지만 그러므로 충고하건데 친구들이여, 남을 벌하려는 충동이 강한 자들 모두를 경계하라!",['충동']
리타 러드너,저는 남자를 만날 때 '내 아이들이 매주 주말을 함께 보내도 되는 사람인가?' 하고 자문해봐요.,"['남자', '연애']"
알버트 아인슈타인,정말 위대하고 감동적인 모든 것은 자유롭게 일하는 이들이 창조한다.,"['자유', '일(labor)', '창조']"
루트비히 보른,환상을 잃으면 당신은 진리를 발견할 때보다 더 현명해진다.,['환상']
아서 코난 도일 경,자료를 확보하지 않고 이론화하는 것은 중대한 실수다.,['이론']
루드비히 폰 미제스,스스로 생각할 수 있는 능력을 가진 계층은 그렇지 못한 계층과 현격한 차이를 보이며 구분된다.,['생각']
헌터 S. 톰슨,틀린 질문을 하면 그 대답을 고민할 필요가 없다.,['질문']
아나이스 닌,우리는 사물을 있는 그대로 보지 않고 우리 방식대로 본다.,"['관점', '편견']"
G.K. 체스터 (G.K. Chesterton),그들은 답을 모르는 것이 아니라 문제를 모른다.,['문제']
빈스 롬바르디,성공하려면 성실하게 임하는 자세가 필요하다.,"['성공', '성실']"
리콴유,교육을 받는 것과 교육되는 것은 별개의 문제다.,['교육']
바뤼흐 스피노자,"인간에게 혀를 다스리는 일보다 어려운 일은 없고, 말보다 욕망을 더 잘 조절할 수 있다.","['말(words)', '욕망']"
프리드리히 니체,날으는 법을 가르칠 수 없는 자에게는 더 빨리 추락하는 법을 가르쳐라!,"['교육', '가르침']"
어네스트 헤밍웨이,남이 말할 때 완전히 귀 기울여라. 대부분의 사람들은 남의 말을 경청하지 않는다.,"['경청', '대화']"
찰리 채플린,배우는 거부 당하기 위해 헤맨다. 거부 당하지 않으면 스스로를 거부한다.,['배우']
엘버트 허버드,설명하지마라,"['설명', '친구', '적(enemy)']"
세네카,당신이 행한 봉사에 대해서는 말을 아끼라. 허나 당신이 받았던 호의들에 대해서는 이야기하라.,"['봉사', '호의', '처세', '선행']"
제임스 딘,내 사고방식으로는 배우의 길은 그가 요람에서 나오기 훨씬 전부터 정해진다.,['배우']
W. C. 셀러,가르치고자 하는 사람 하나에 그다지 배우고 싶어하지 않는 사람이 약 서른 명 쯤 있다.,['학교']
레프 톨스토이,예술은 손으로 만든 작품이 아니라 예술가가 경험한 감정의 전달이다.,"['예술', '예술가']"
오스카 레반트,천재와 광인 사이에는 아주 가느다란 선이 있다. 나는 이 선을 지웠다.,"['천재', '광인']"
토마스 제퍼슨,"나는 행운을 굳게 믿는 사람이며, 내가 더 열심히 일할 수록 더 많은 행운이 따르곤 한다.","['행운', '노력']"
윈스턴 처칠,"나로 말할 것 같으면 긍정주의자인데, 다른 주의자가 돼 봤자 별 쓸모가 없는 것 같기 때문이다.",['긍정주의자']
컬린 하이타워,"자신의 실수를 비웃으면 삶이 길어질 것이요, 남의 실수를 비웃으면 삶이 단축될 것이다.","['실수', '삶', '비웃음']"
마더 테레사,"세상에는 빵 한 조각 때문에 죽어가는 사람도 많지만, 작은 사랑도 받지 못해서 죽어가는 사람은 더 많다.","['사랑', '죽음']"
프리드리히 니체,"기억력이 나쁜 것의 장점은 같은 일을 여러 번, 마치 처음처럼 즐길 수 있다는 것이다.",['기억력']
윌프레드 그렌펠 경,"진정한 기쁨은 편안함이나 부, 혹은 인간에 대한 찬양으로부터가 아니라 가치 있는 일을 하는데서 나온다.",['기쁨']
랄프 왈도 에머슨,사람들은 세상에 대한 자신의 견해가 본인의 인격을 드러낸다는 사실을 잘 알지 못하는 것 같다.,"['인격', '견해']"
로이스 맥마스터 부욜,정직은 서로의 피부 속까지 들어가서 살만큼 가까워질 수 있는 유일한 방법이다.,['정직']
가브리엘 코코 샤넬,모든 것이 우리 머리 속에 있으니 머리를 잃어버리지 않는 게 좋겠다.,['머리']
조쉬 빌링스,남에게 이기는 방법의 하나는 예의범절로 이기는 것이다.,"['예의범절', '승리']"
빌 게이츠,"시간 자원의 분배 측면에서만 따져 본다면, 종교는 그다지 효율적이지 않다. 일요일 아침에 할 수 있는 일은 많기 때문이다.",['종교']
제임스 딘,인간의 신경증이 드러나는 가장 논리적인 방법은 연기이며 이런 중대한 필요성 때문에 우리는 모두 자신을 표현해야 한다.,"['자기자신', '연기(act)', '표현']"
알버트 게랄드,"더 이상 의심할 것이 없을 때까지 의심하라, 의심은 생각이고, 생각이 곧 인생이다. 의심을 품지 못하게 하는 체제는 생각을 마비시키는 장치이다.","['의심', '체제']"
앨런 왓츠,실제로 느끼지 못하는 사랑을 느끼는 척 하지 말라. 사랑은 우리가 좌지우지 할 수 없으므로.,['사랑']
공자,남이 나를 알아주지 않아도 노여워 하지 않음이 또한 군자가 아니겠는가,['군자']
하인리히 하이네,"온전히 너그러워지던가, 전혀 너그러워지지 마라. 선과 악 중 한 가지 길만을 가라. 중간에 서있기 위해서는 지금보다 더 강해져야 한다.","['선(good)', '악(evil)']"
사라 베른하르트,생명은 생명을 낳는다. 에너지는 에너지를 창출한다. 사람이 부자가 되는 것은 자신을 소모시킴에 따라 일어난다.,"['부자', '사람']"
미셸 드 몽테뉴,내가 농부들과 함께 있는 것을 더 좋아하는 이유는 농부들은 잘못 사고하도록 충분한 교육을 받지 않았기 때문이다.,['교육']
J. K. 롤링,너희들이 나만큼 인생에 대해 알게 되면 강박적인 사랑의 힘을 과소평가하진 않을 게다.,['사랑']
공자,가장 큰 영광은 한 번도 실패하지 않음이 아니라 실패할 때마다 다시 일어서는 데에 있다.,['실패']
프리드리히 니체,더러운 것에 대한 혐오가 지나치면 스스로를 정화하고 정당화하는 데에 장애가 될 수 있다.,"['더러움', '혐오', '결벽증']"
다이앤 프롤로브,"마음에 대해 논할 때, 자기 기만에 대해서는 할 말이 많다.","['마음', '자기자신']"
윌리엄 셰익스피어,신이시여 남자에게나 여자에게나 명예란 그들 영혼을 직접 빛내주는 보석이나 같습니다. 만약 누가 내 지갑을 훔쳐간다면 그건 쓰레기를 가져가는 셈입니다. 그것은 아무 것도 아닙니다. 한 때는 제 것이다가 이제는 다른 이의 것이며 수많은 이들의 손을 거치는 노예와 같은 것입니다. 하지만 만일 누가 내 명예를 빼앗아 간다면 비록 그사람을 부유하게 만들지는 못할지라도 저는 참으로 초라하게 될 것입니다.,"['명예', '돈(money)', '남자', '여자']"
스콧 애덤스,"남자는 환상의 세계 속에서 산다. 나는 남자이기 때문에, 그리고 실제로 우편물을 그리로 받아보기 때문에 이 사실을 알고 있다.",['남자']
에피쿠로스,못 가진 것에 대한 욕망으로 가진 것을 망치지 말라. 하지만 지금 가진 것이 한때는 바라기만 했던 것 중 하나였다는 것도 기억하라.,"['욕망', '소유']"
프랭클린 P. 존스,경험은 같은 실수를 되풀이 할 때 그것을 깨닫게 해주는 놀라운 것이다.,"['경험', '실수']"
